Record_ID,Date,Time,Road_ID,Area,Vehicle_Count,Car_Count,Bus_Count,Bike_Count,Truck_Count,Avg_Speed_kmph,Congestion_Level,Signal_Wait_Time_sec,Accident_Count,Weather
64,2024-01-02,16:00,Ring Road,Downtown,722,371,56,196,99,45.8,High,48,0,Sunny
2179,2024-01-02,17:00,MG Road,Downtown,1835,867,154,380,434,26.7,High,86,0,Sunny
1954,2024-01-02,17:00,MG Road,West Zone,1455,640,146,304,365,23.5,High,84,0,Rainy
2918,2024-01-02,17:00,Outer Ring Road,West Zone,1525,801,133,304,287,31.9,High,81,0,Cloudy
2327,2024-01-03,07:00,Market Road,Downtown,1396,696,134,376,190,36.5,High,68,0,Sunny
1582,2024-01-03,09:00,Airport Road,East Zone,1770,1043,194,483,50,16.0,High,84,0,Sunny
3941,2024-01-03,13:00,NH-44,North Zone,540,290,49,127,74,55.1,Medium,42,0,Foggy
2684,2024-01-03,15:00,Market Road,East Zone,968,427,83,184,274,42.3,High,33,0,Cloudy
1522,2024-01-03,16:00,Station Road,West Zone,680,347,58,133,142,46.3,High,68,0,Sunny
898,2024-01-03,17:00,MG Road,East Zone,1344,673,120,377,174,29.6,High,69,0,Sunny
2664,2024-01-03,18:00,Ring Road,Downtown,1290,625,94,243,328,34.6,High,81,1,Sunny
1870,2024-01-03,18:00,NH-44,East Zone,1091,614,127,276,74,35.2,High,75,0,Sunny
2130,2024-01-03,18:00,NH-44,North Zone,1734,794,141,504,295,19.6,High,67,0,Sunny
3780,2024-01-03,18:00,NH-44,North Zone,1232,750,135,229,118,35.0,High,71,0,Sunny
2738,2024-01-03,21:00,Station Road,North Zone,547,244,59,110,134,57.6,Medium,55,0,Sunny
1917,2024-01-04,05:00,Lake View Road,East Zone,875,441,70,240,124,50.4,High,65,0,Cloudy
971,2024-01-04,06:00,NH-44,North Zone,857,514,77,241,25,55.1,Medium,58,0,Sunny
1332,2024-01-04,06:00,Station Road,North Zone,890,431,92,239,128,49.4,High,45,0,Cloudy
2735,2024-01-04,07:00,IT Corridor,North Zone,1240,644,106,325,165,33.8,High,74,0,Sunny
3877,2024-01-04,08:00,Lake View Road,North Zone,1457,668,112,375,302,27.4,High,76,0,Rainy
1728,2024-01-04,08:00,Ring Road,North Zone,949,478,86,172,213,42.8,High,70,0,Sunny
951,2024-01-04,09:00,IT Corridor,East Zone,1619,866,133,352,268,15.0,High,82,0,Rainy
3087,2024-01-04,15:00,MG Road,East Zone,684,386,61,167,70,32.9,High,47,0,Foggy
498,2024-01-04,17:00,MG Road,East Zone,1085,601,84,199,201,42.9,High,71,0,Sunny
1490,2024-01-04,19:00,Ring Road,West Zone,1172,536,135,235,266,38.6,High,74,0,Cloudy
327,2024-01-04,21:00,Outer Ring Road,North Zone,545,309,56,105,75,51.5,Medium,48,0,Cloudy
1566,2024-01-05,05:00,Green Park Rd,Downtown,1358,794,158,366,40,29.9,High,81,0,Sunny
2057,2024-01-05,07:00,Lake View Road,East Zone,1118,678,130,249,61,35.4,High,82,0,Sunny
722,2024-01-05,09:00,MG Road,North Zone,1333,778,132,384,39,40.0,High,64,0,Cloudy
2336,2024-01-05,10:00,Green Park Rd,East Zone,1793,981,179,472,161,24.8,High,71,0,Cloudy
2917,2024-01-05,10:00,Lake View Road,West Zone,2082,1269,202,518,93,12.0,High,75,0,Rainy
3487,2024-01-05,13:00,NH-44,South Zone,648,341,54,142,111,42.7,High,54,0,Rainy
1094,2024-01-05,15:00,NH-44,West Zone,675,334,55,125,161,50.6,High,73,0,Cloudy
2287,2024-01-05,16:00,Station Road,North Zone,716,419,79,197,21,54.6,Medium,40,0,Cloudy
1047,2024-01-05,16:00,Airport Road,South Zone,775,452,66,229,28,43.3,High,75,0,Sunny
417,2024-01-05,16:00,MG Road,South Zone,598,341,66,152,39,56.1,High,55,0,Cloudy
615,2024-01-05,16:00,Green Park Rd,West Zone,731,436,87,181,27,53.3,High,54,0,Sunny
129,2024-01-05,17:00,Market Road,East Zone,1123,520,116,288,199,37.9,High,59,0,Sunny
3504,2024-01-05,17:00,Outer Ring Road,West Zone,1133,594,116,296,127,41.0,High,50,0,Foggy
845,2024-01-05,20:00,Station Road,West Zone,1442,839,165,312,126,27.3,High,90,0,Sunny
3918,2024-01-05,21:00,Ring Road,West Zone,834,494,68,155,117,51.3,High,47,0,Sunny
2437,2024-01-05,22:00,MG Road,Downtown,740,420,83,152,85,46.0,High,67,0,Cloudy
967,2024-01-06,10:00,NH-44,North Zone,1293,777,136,239,141,34.1,High,76,0,Sunny
743,2024-01-06,14:00,Green Park Rd,Downtown,997,527,89,235,146,32.9,High,71,0,Rainy
336,2024-01-06,16:00,Ring Road,North Zone,644,381,55,185,23,50.7,High,51,0,Cloudy
3942,2024-01-06,19:00,Station Road,East Zone,1606,813,169,473,151,28.3,High,64,0,Rainy
937,2024-01-06,20:00,Airport Road,East Zone,1595,708,155,318,414,29.2,High,61,1,Rainy
2473,2024-01-07,04:00,Airport Road,West Zone,883,422,62,197,202,45.8,High,55,0,Cloudy
1466,2024-01-07,07:00,NH-44,Downtown,1563,886,123,454,100,29.8,High,62,1,Sunny
2870,2024-01-07,07:00,Green Park Rd,North Zone,1388,789,136,361,102,31.6,High,61,0,Sunny
1719,2024-01-07,09:00,Ring Road,Downtown,1715,763,143,439,370,27.2,High,74,0,Cloudy
1281,2024-01-07,13:00,IT Corridor,East Zone,570,268,56,168,78,48.5,Medium,59,0,Cloudy
3847,2024-01-07,13:00,Green Park Rd,South Zone,689,339,52,171,127,44.8,High,55,0,Sunny
607,2024-01-07,16:00,Ring Road,North Zone,834,409,90,201,134,43.8,High,56,0,Sunny
1865,2024-01-07,16:00,MG Road,West Zone,843,434,86,243,80,38.0,High,70,0,Rainy
3389,2024-01-07,17:00,Ring Road,South Zone,907,496,71,219,121,45.7,High,46,0,Cloudy
897,2024-01-07,18:00,Lake View Road,North Zone,1169,614,85,233,237,33.1,High,57,0,Cloudy
1655,2024-01-07,20:00,Green Park Rd,West Zone,2110,1023,158,570,359,18.1,High,84,0,Sunny
2387,2024-01-07,23:00,Ring Road,South Zone,576,320,45,118,93,54.1,Medium,56,0,Cloudy
689,2024-01-08,02:00,Airport Road,Downtown,697,339,70,201,87,42.2,High,58,0,Rainy
831,2024-01-08,07:00,IT Corridor,Downtown,2105,1271,181,591,62,19.3,High,70,0,Sunny
2975,2024-01-08,08:00,Market Road,North Zone,1267,731,147,351,38,34.5,High,87,0,Sunny
3988,2024-01-08,08:00,Outer Ring Road,South Zone,1013,442,89,228,254,35.7,High,81,0,Rainy
2050,2024-01-08,10:00,Market Road,North Zone,1513,856,150,359,148,28.5,High,61,0,Sunny
3485,2024-01-08,10:00,MG Road,South Zone,818,434,65,148,171,47.2,High,63,0,Cloudy
2572,2024-01-08,13:00,Ring Road,West Zone,709,385,64,144,116,44.1,High,52,0,Foggy
1254,2024-01-08,17:00,Airport Road,Downtown,1427,769,136,263,259,33.3,High,81,0,Sunny
2549,2024-01-08,17:00,IT Corridor,South Zone,1309,705,115,298,191,33.9,High,87,0,Sunny
1769,2024-01-08,18:00,Lake View Road,South Zone,1597,718,160,309,410,27.8,High,63,2,Sunny
878,2024-01-08,18:00,Green Park Rd,West Zone,1161,549,127,263,222,38.0,High,69,0,Sunny
3991,2024-01-08,19:00,Station Road,Downtown,1264,608,93,286,277,24.5,High,77,0,Rainy
2998,2024-01-08,19:00,Green Park Rd,North Zone,980,456,88,180,256,44.7,High,62,0,Cloudy
3298,2024-01-08,21:00,Market Road,Downtown,1001,521,94,220,166,46.3,High,69,0,Sunny
3191,2024-01-08,22:00,MG Road,South Zone,444,195,43,133,73,52.7,Medium,39,0,Sunny
1947,2024-01-08,23:00,Station Road,North Zone,758,457,59,205,37,39.6,High,64,0,Rainy
3944,2024-01-08,23:00,MG Road,West Zone,964,573,68,225,98,39.2,High,64,0,Cloudy
1323,2024-01-09,10:00,NH-44,West Zone,1616,738,186,363,329,25.6,High,82,0,Sunny
1602,2024-01-09,12:00,IT Corridor,North Zone,712,402,84,140,86,56.7,High,62,1,Cloudy
270,2024-01-09,17:00,Lake View Road,Downtown,1878,954,194,523,207,20.5,High,72,0,Sunny
603,2024-01-09,17:00,Outer Ring Road,West Zone,1674,984,167,466,57,16.5,High,82,0,Foggy
2209,2024-01-09,18:00,MG Road,South Zone,1374,646,137,280,311,39.7,High,68,0,Cloudy
98,2024-01-09,18:00,Outer Ring Road,South Zone,1241,569,95,239,338,25.7,High,77,0,Foggy
1849,2024-01-09,19:00,Station Road,South Zone,765,459,63,194,49,46.3,High,37,0,Sunny
1788,2024-01-09,20:00,NH-44,North Zone,1042,596,79,265,102,46.5,High,75,0,Cloudy
1572,2024-01-09,22:00,NH-44,North Zone,734,368,69,176,121,43.5,High,52,0,Rainy
1978,2024-01-10,04:00,Ring Road,Downtown,1020,580,98,213,129,29.5,High,67,0,Foggy
716,2024-01-10,09:00,Outer Ring Road,West Zone,1175,597,120,306,152,42.3,High,70,1,Cloudy
1093,2024-01-10,10:00,Lake View Road,North Zone,1416,648,159,352,257,30.7,High,75,0,Sunny
1006,2024-01-10,10:00,Station Road,South Zone,1005,564,78,222,141,35.9,High,64,0,Cloudy
2690,2024-01-10,10:00,Green Park Rd,West Zone,667,318,68,173,108,50.6,High,43,0,Sunny
486,2024-01-10,12:00,Green Park Rd,Downtown,1090,611,102,252,125,41.8,High,71,0,Cloudy
2211,2024-01-10,15:00,Airport Road,South Zone,821,376,58,200,187,45.4,High,60,0,Cloudy
3661,2024-01-10,21:00,MG Road,North Zone,1154,669,86,241,158,33.4,High,67,0,Rainy
2608,2024-01-10,22:00,Green Park Rd,East Zone,845,452,79,230,84,41.1,High,77,0,Rainy
2530,2024-01-10,22:00,Ring Road,East Zone,929,404,98,211,216,43.5,High,82,0,Sunny
3953,2024-01-11,08:00,MG Road,East Zone,1374,609,98,287,380,32.6,High,79,1,Sunny
1542,2024-01-11,08:00,Outer Ring Road,East Zone,1613,759,188,314,352,33.7,High,90,0,Sunny
1383,2024-01-11,09:00,Airport Road,North Zone,1076,638,84,251,103,26.9,High,71,0,Foggy
3736,2024-01-11,10:00,Market Road,North Zone,896,416,107,266,107,43.9,High,62,0,Cloudy
2607,2024-01-11,10:00,NH-44,South Zone,1000,434,78,270,218,43.0,High,48,0,Cloudy
1125,2024-01-11,12:00,Lake View Road,South Zone,778,457,78,221,22,46.0,High,67,0,Cloudy
1296,2024-01-11,15:00,Airport Road,North Zone,695,313,64,187,131,44.9,High,43,0,Sunny
1807,2024-01-11,18:00,MG Road,Downtown,1238,570,116,312,240,27.6,High,72,0,Rainy
2246,2024-01-11,21:00,Ring Road,North Zone,785,442,84,203,56,39.6,High,81,0,Foggy
1672,2024-01-12,01:00,Lake View Road,North Zone,678,331,60,188,99,48.8,High,61,1,Sunny
1705,2024-01-12,01:00,NH-44,North Zone,467,278,33,104,52,48.3,High,65,0,Foggy
854,2024-01-12,01:00,Ring Road,West Zone,598,288,71,144,95,50.6,High,47,0,Sunny
1437,2024-01-12,05:00,Station Road,North Zone,770,341,54,157,218,40.0,High,68,0,Foggy
1878,2024-01-12,10:00,Outer Ring Road,North Zone,1312,672,117,283,240,39.6,High,73,0,Sunny
1876,2024-01-12,11:00,Airport Road,West Zone,1113,498,111,212,292,27.3,High,71,0,Rainy
1427,2024-01-12,12:00,IT Corridor,Downtown,750,343,59,142,206,49.1,High,56,0,Cloudy
3678,2024-01-12,12:00,IT Corridor,West Zone,1137,565,124,335,113,37.8,High,71,0,Rainy
3508,2024-01-12,15:00,MG Road,North Zone,766,408,61,170,127,45.6,High,76,0,Sunny
2418,2024-01-12,17:00,Airport Road,North Zone,924,417,104,199,204,44.4,High,46,1,Sunny
2324,2024-01-12,17:00,Lake View Road,North Zone,1147,528,81,326,212,42.8,High,61,0,Sunny
2139,2024-01-12,17:00,Station Road,South Zone,1023,562,112,195,154,41.8,High,56,0,Cloudy
3009,2024-01-12,18:00,NH-44,East Zone,1224,537,139,257,291,33.3,High,72,0,Rainy
3851,2024-01-12,18:00,Outer Ring Road,East Zone,1226,629,131,342,124,37.6,High,65,0,Sunny
1759,2024-01-12,18:00,Green Park Rd,West Zone,1770,820,159,333,458,19.9,High,72,0,Sunny
2702,2024-01-12,19:00,NH-44,West Zone,1301,760,120,256,165,35.8,High,75,0,Sunny
683,2024-01-12,20:00,Ring Road,Downtown,1798,952,160,510,176,26.1,High,78,1,Cloudy
520,2024-01-12,20:00,Market Road,South Zone,1133,528,128,263,214,40.6,High,81,0,Cloudy
2374,2024-01-12,21:00,Green Park Rd,North Zone,616,334,72,127,83,42.5,High,55,0,Foggy
2026,2024-01-12,22:00,Lake View Road,South Zone,538,276,47,156,59,48.3,Medium,42,0,Sunny
3792,2024-01-13,07:00,Airport Road,North Zone,970,548,108,194,120,33.5,High,71,0,Foggy
2696,2024-01-13,07:00,IT Corridor,South Zone,1263,559,128,295,281,33.9,High,71,0,Sunny
556,2024-01-13,08:00,IT Corridor,Downtown,932,524,100,260,48,45.7,High,74,0,Cloudy
1010,2024-01-13,08:00,IT Corridor,Downtown,1548,860,114,430,144,28.5,High,84,0,Sunny
380,2024-01-13,10:00,Station Road,South Zone,982,596,78,180,128,39.0,High,84,1,Sunny
3552,2024-01-13,11:00,Outer Ring Road,Downtown,711,435,57,137,82,48.4,High,49,0,Sunny
2490,2024-01-13,12:00,Outer Ring Road,Downtown,906,434,99,260,113,43.1,High,49,0,Sunny
3804,2024-01-13,14:00,Green Park Rd,Downtown,841,419,88,185,149,51.0,High,61,0,Cloudy
919,2024-01-13,14:00,Lake View Road,West Zone,566,293,48,166,59,56.1,High,52,0,Sunny
1675,2024-01-13,15:00,IT Corridor,Downtown,918,429,93,188,208,45.3,High,61,0,Cloudy
3732,2024-01-13,15:00,IT Corridor,North Zone,730,386,77,212,55,44.7,High,66,0,Sunny
3631,2024-01-13,15:00,NH-44,South Zone,932,410,74,272,176,43.6,High,62,0,Rainy
152,2024-01-13,18:00,Lake View Road,North Zone,1445,799,167,330,149,38.3,High,84,0,Sunny
3759,2024-01-13,20:00,NH-44,West Zone,1568,895,141,388,144,29.3,High,68,0,Sunny
1060,2024-01-14,03:00,Outer Ring Road,Downtown,965,556,70,219,120,34.1,High,65,0,Sunny
2704,2024-01-14,06:00,Green Park Rd,East Zone,416,195,36,91,94,59.5,Medium,56,1,Rainy
2476,2024-01-14,09:00,Green Park Rd,Downtown,2173,1129,252,566,226,12.0,High,83,0,Cloudy
894,2024-01-14,09:00,MG Road,West Zone,1131,542,91,207,291,37.2,High,82,0,Sunny
888,2024-01-14,10:00,NH-44,West Zone,1574,895,177,399,103,30.5,High,70,0,Cloudy
2737,2024-01-14,11:00,IT Corridor,East Zone,680,405,72,183,20,53.5,Medium,52,0,Cloudy
1476,2024-01-14,15:00,IT Corridor,East Zone,849,481,67,163,138,46.6,High,51,0,Sunny
51,2024-01-14,16:00,Market Road,East Zone,904,541,98,197,68,43.5,High,72,0,Sunny
3666,2024-01-14,16:00,Green Park Rd,South Zone,474,291,42,127,14,51.9,Medium,46,0,Sunny
677,2024-01-14,16:00,MG Road,West Zone,785,390,91,177,127,52.0,High,51,0,Foggy
2388,2024-01-14,17:00,Airport Road,West Zone,1713,874,159,420,260,23.8,High,63,0,Cloudy
1322,2024-01-14,18:00,Lake View Road,South Zone,853,398,68,242,145,36.8,High,67,0,Foggy
1952,2024-01-14,19:00,Market Road,Downtown,1609,750,151,453,255,25.5,High,60,0,Sunny
1961,2024-01-14,19:00,Ring Road,Downtown,1748,835,132,339,442,18.8,High,76,0,Sunny
1875,2024-01-14,22:00,NH-44,West Zone,685,350,63,205,67,43.7,Medium,48,0,Foggy
3926,2024-01-15,07:00,NH-44,South Zone,943,544,79,278,42,47.1,High,63,0,Cloudy
93,2024-01-15,08:00,NH-44,South Zone,1174,681,99,293,101,33.1,High,66,0,Rainy
1753,2024-01-15,08:00,MG Road,West Zone,1432,879,110,302,141,23.6,High,74,0,Cloudy
906,2024-01-15,10:00,Lake View Road,West Zone,1338,631,109,263,335,35.4,High,83,0,Rainy
1780,2024-01-15,12:00,Green Park Rd,South Zone,437,265,33,90,49,59.4,Medium,46,0,Sunny
1489,2024-01-15,16:00,Lake View Road,West Zone,531,287,50,116,78,64.5,Medium,42,0,Sunny
1080,2024-01-15,18:00,Green Park Rd,Downtown,1501,763,112,440,186,35.1,High,84,0,Cloudy
135,2024-01-15,21:00,Ring Road,East Zone,742,373,63,217,89,45.5,High,63,0,Rainy
1106,2024-01-15,21:00,MG Road,South Zone,635,368,72,154,41,55.3,Medium,43,0,Sunny
3198,2024-01-15,23:00,Market Road,Downtown,1173,546,119,317,191,36.7,High,59,0,Sunny
499,2024-01-16,00:00,IT Corridor,East Zone,660,343,70,171,76,45.5,High,68,0,Cloudy
3171,2024-01-16,00:00,Ring Road,East Zone,865,443,77,218,127,45.2,High,57,0,Sunny
1458,2024-01-16,07:00,NH-44,East Zone,1711,813,178,387,333,28.0,High,75,0,Sunny
3852,2024-01-16,10:00,IT Corridor,Downtown,1847,917,172,401,357,18.5,High,86,0,Sunny
3764,2024-01-16,11:00,Outer Ring Road,East Zone,777,337,70,226,144,45.7,High,54,0,Sunny
3011,2024-01-16,11:00,Station Road,South Zone,448,198,44,128,78,62.2,Medium,54,0,Cloudy
3622,2024-01-16,15:00,Lake View Road,East Zone,1018,471,118,232,197,42.3,High,64,0,Sunny
1494,2024-01-16,19:00,Market Road,East Zone,1521,803,164,414,140,23.9,High,80,0,Rainy
3510,2024-01-17,06:00,IT Corridor,East Zone,606,347,55,129,75,56.9,High,43,0,Sunny
2910,2024-01-17,07:00,MG Road,South Zone,1244,718,134,336,56,34.5,High,67,0,Sunny
1432,2024-01-17,08:00,MG Road,North Zone,1177,637,139,286,115,36.7,High,77,0,Sunny
1704,2024-01-17,08:00,Outer Ring Road,South Zone,1115,563,95,321,136,28.0,High,75,1,Foggy
3270,2024-01-17,08:00,MG Road,West Zone,1220,598,144,264,214,34.9,High,75,0,Sunny
2522,2024-01-17,10:00,Outer Ring Road,North Zone,1195,717,124,220,134,26.6,High,82,0,Foggy
331,2024-01-17,11:00,Station Road,Downtown,1221,679,91,260,191,29.5,High,62,0,Sunny
2556,2024-01-17,11:00,Airport Road,East Zone,768,374,81,150,163,45.4,Medium,59,0,Sunny
1412,2024-01-17,11:00,Ring Road,South Zone,587,298,46,131,112,51.9,High,59,0,Sunny
3890,2024-01-17,13:00,Station Road,East Zone,467,272,50,131,14,60.1,Medium,33,0,Sunny
1186,2024-01-17,15:00,MG Road,West Zone,669,386,48,147,88,49.9,Medium,50,0,Sunny
1348,2024-01-17,15:00,Station Road,West Zone,846,501,76,218,51,45.3,High,56,0,Sunny
3815,2024-01-17,17:00,IT Corridor,Downtown,1192,697,89,349,57,30.0,High,88,0,Sunny
1680,2024-01-17,18:00,Ring Road,North Zone,1080,542,117,231,190,40.0,High,56,0,Sunny
2630,2024-01-18,05:00,MG Road,North Zone,584,354,61,127,42,53.4,Medium,50,0,Sunny
1230,2024-01-18,12:00,Airport Road,North Zone,758,463,86,186,23,49.3,Medium,55,0,Sunny
354,2024-01-18,18:00,IT Corridor,West Zone,1290,746,127,252,165,30.1,High,75,0,Cloudy
1941,2024-01-18,20:00,Airport Road,Downtown,1128,689,99,265,75,36.5,High,78,0,Foggy
568,2024-01-19,02:00,Market Road,West Zone,779,450,76,202,51,44.0,Medium,58,1,Cloudy
2667,2024-01-19,09:00,Ring Road,West Zone,1421,701,145,388,187,24.7,High,84,0,Cloudy
3288,2024-01-19,10:00,NH-44,East Zone,1378,795,127,390,66,25.9,High,76,0,Foggy
2103,2024-01-19,11:00,MG Road,Downtown,688,410,69,188,21,47.5,High,63,0,Sunny
2265,2024-01-19,12:00,Airport Road,Downtown,1114,562,87,319,146,44.1,High,56,0,Sunny
1229,2024-01-19,16:00,Lake View Road,Downtown,834,449,72,185,128,42.5,High,50,0,Foggy
638,2024-01-19,17:00,Ring Road,East Zone,1354,704,117,375,158,32.2,High,66,0,Sunny
3578,2024-01-19,18:00,IT Corridor,North Zone,1595,959,136,435,65,24.4,High,93,0,Sunny
2764,2024-01-19,20:00,NH-44,Downtown,1582,966,184,385,47,34.3,High,87,0,Sunny
2225,2024-01-19,21:00,Ring Road,Downtown,793,356,64,233,140,46.9,Medium,61,0,Cloudy
3972,2024-01-19,21:00,Lake View Road,North Zone,916,533,94,256,33,51.6,High,49,0,Cloudy
673,2024-01-20,04:00,Outer Ring Road,West Zone,1093,496,87,283,227,42.2,High,72,0,Sunny
2731,2024-01-20,05:00,Station Road,Downtown,948,468,102,242,136,42.2,High,56,0,Sunny
1574,2024-01-20,06:00,Market Road,East Zone,806,413,80,218,95,52.0,High,64,0,Sunny
2013,2024-01-20,07:00,Market Road,Downtown,1192,584,135,334,139,30.8,High,79,0,Foggy
990,2024-01-20,09:00,IT Corridor,South Zone,1088,500,100,315,173,39.3,High,60,0,Sunny
2941,2024-01-20,11:00,MG Road,North Zone,717,315,75,148,179,52.4,High,48,0,Sunny
385,2024-01-20,11:00,MG Road,West Zone,1027,585,111,266,65,33.1,High,77,0,Cloudy
1920,2024-01-20,12:00,Outer Ring Road,West Zone,1016,499,82,197,238,44.0,High,44,0,Sunny
1300,2024-01-20,16:00,Outer Ring Road,Downtown,847,438,68,189,152,51.3,High,50,0,Sunny
3506,2024-01-20,16:00,Outer Ring Road,South Zone,510,220,53,107,130,59.0,Medium,33,0,Sunny
2718,2024-01-20,17:00,MG Road,South Zone,1087,582,116,275,114,40.0,High,84,0,Sunny
2706,2024-01-20,19:00,Station Road,East Zone,1343,691,108,361,183,38.8,High,66,0,Cloudy
2426,2024-01-20,23:00,Airport Road,Downtown,1173,673,106,337,57,29.4,High,70,0,Sunny
3205,2024-01-21,06:00,Airport Road,North Zone,760,357,69,215,119,52.9,Medium,48,0,Sunny
45,2024-01-21,07:00,Lake View Road,North Zone,1496,905,106,405,80,30.0,High,83,0,Sunny
2151,2024-01-21,08:00,MG Road,East Zone,1100,607,89,307,97,46.3,High,59,0,Cloudy
7,2024-01-21,08:00,Market Road,East Zone,1160,626,97,329,108,33.1,High,55,0,Foggy
3462,2024-01-21,09:00,IT Corridor,North Zone,1618,810,163,334,311,21.8,High,75,0,Rainy
3649,2024-01-21,09:00,Market Road,North Zone,1046,463,81,225,277,37.2,High,68,0,Rainy
2517,2024-01-21,10:00,NH-44,West Zone,1146,645,89,296,116,36.1,High,59,0,Cloudy
3788,2024-01-21,11:00,Market Road,North Zone,922,420,106,192,204,43.3,High,59,0,Sunny
3092,2024-01-21,13:00,Market Road,West Zone,975,540,114,228,93,45.9,High,62,0,Cloudy
2867,2024-01-21,14:00,IT Corridor,South Zone,616,310,52,115,139,45.6,High,55,0,Sunny
3015,2024-01-21,15:00,Outer Ring Road,East Zone,863,408,94,196,165,43.4,High,71,0,Sunny
3741,2024-01-21,17:00,Airport Road,Downtown,1614,989,176,401,48,21.7,High,86,0,Cloudy
1943,2024-01-21,18:00,IT Corridor,South Zone,1493,802,142,327,222,30.8,High,81,0,Cloudy
2884,2024-01-21,23:00,Airport Road,South Zone,383,199,28,106,50,49.2,Medium,56,0,Foggy
1745,2024-01-21,23:00,Ring Road,West Zone,434,240,45,107,42,54.6,Medium,27,0,Sunny
849,2024-01-22,02:00,NH-44,North Zone,833,457,60,227,89,49.9,Medium,55,0,Cloudy
2647,2024-01-22,08:00,Station Road,Downtown,1838,926,220,408,284,14.1,High,72,0,Foggy
1869,2024-01-22,09:00,Ring Road,West Zone,1805,793,168,494,350,19.6,High,71,0,Cloudy
3557,2024-01-22,10:00,Outer Ring Road,Downtown,1468,834,123,362,149,24.8,High,78,0,Sunny
26,2024-01-22,11:00,MG Road,South Zone,471,261,55,97,58,56.5,Medium,42,0,Cloudy
309,2024-01-22,13:00,Market Road,West Zone,666,368,67,190,41,54.5,Medium,46,0,Sunny
3671,2024-01-22,14:00,Market Road,Downtown,1229,759,92,290,88,40.1,High,75,0,Cloudy
2919,2024-01-22,15:00,IT Corridor,South Zone,771,425,67,187,92,50.3,High,62,0,Rainy
1707,2024-01-22,16:00,Green Park Rd,East Zone,654,332,48,189,85,45.3,High,88,0,Sunny
1739,2024-01-22,20:00,IT Corridor,Downtown,1484,791,107,375,211,36.4,High,62,0,Sunny
1065,2024-01-23,08:00,Lake View Road,East Zone,1693,1024,185,408,76,25.0,High,76,0,Cloudy
3729,2024-01-23,09:00,IT Corridor,North Zone,1353,720,132,270,231,32.8,High,63,0,Cloudy
484,2024-01-23,11:00,Green Park Rd,West Zone,831,484,59,232,56,46.2,High,49,1,Rainy
749,2024-01-23,12:00,Ring Road,South Zone,816,436,61,207,112,48.3,High,70,0,Cloudy
1662,2024-01-23,12:00,Ring Road,South Zone,914,525,100,262,27,38.4,High,66,0,Rainy
2668,2024-01-23,13:00,Green Park Rd,Downtown,924,542,93,257,32,37.3,High,66,0,Sunny
3605,2024-01-23,14:00,MG Road,West Zone,875,415,90,241,129,48.2,High,44,0,Rainy
3658,2024-01-23,17:00,Outer Ring Road,Downtown,1611,998,189,365,59,28.0,High,75,0,Sunny
1132,2024-01-23,17:00,Outer Ring Road,South Zone,1309,608,104,267,330,32.3,High,80,0,Rainy
3378,2024-01-23,18:00,Market Road,Downtown,1859,868,183,465,343,20.1,High,90,0,Sunny
3734,2024-01-24,07:00,Airport Road,North Zone,998,511,117,297,73,45.0,High,52,0,Sunny
